time	W	usage_c0	usage_c1	usage_c2	usage_c3	usage_c4	usage_c5	usage_c6	usage_c7	temp4	temp5	temp6	temp7
1676232137.6505735	5.183	0.05	0.0	0.0	0.05	0.0	0.0	1.0	0.05	39.0	46.0	58.0	40.0	
1676232137.8508613	5.183	0.0	0.0	0.0	0.048	0.0	0.05	1.0	0.0	39.0	45.0	58.0	40.0	
1676232138.0511527	5.183	0.095	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	46.0	58.0	40.0	
1676232138.251439	5.183	0.0	0.0	0.0	0.0	0.0	0.048	1.0	0.0	40.0	46.0	58.0	40.0	
1676232138.451721	5.183	0.05	0.0	0.0	0.05	0.0	0.0	1.0	0.0	39.0	45.0	58.0	40.0	
1676232138.6520107	5.183	0.05	0.0	0.0	0.0	0.048	0.048	1.0	0.15	40.0	46.0	58.0	42.0	
1676232138.8522992	5.183	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	46.0	58.0	40.0	
1676232139.0525837	5.183	0.095	0.0	0.0	0.048	0.0	0.048	1.0	0.0	40.0	46.0	58.0	40.0	
1676232139.2528656	5.183	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	40.0	46.0	58.0	40.0	
1676232139.4531546	5.183	0.048	0.0	0.0	0.0	0.0	0.05	1.0	0.0	40.0	46.0	58.0	40.0	
1676232139.6534562	5.21	0.053	0.0	0.0	0.0	0.095	0.0	1.0	0.0	40.0	46.0	58.0	40.0	
1676232139.8537612	5.21	0.14300000000000002	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	58.0	40.0	
1676232140.0540464	5.21	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	40.0	45.0	58.0	40.0	
1676232140.2543354	5.21	0.095	0.0	0.0	0.0	0.0	0.0	1.0	0.1	40.0	46.0	58.0	40.0	
1676232140.454657	5.21	0.0	0.0	0.0	0.091	0.0	0.0	1.0	0.0	40.0	45.0	53.0	40.0	
1676232140.654993	5.271	0.0	0.048	0.0	0.0	0.0	0.05	1.0	0.05	40.0	45.0	51.0	40.0	
1676232140.8553221	5.271	0.1	0.0	0.0	0.0	0.0	0.048	1.0	0.0	40.0	45.0	50.0	39.0	
1676232141.0556262	5.271	0.0	0.048	0.4	0.0	0.095	0.35	0.65	0.095	41.0	46.0	45.0	39.0	
1676232141.2559438	5.271	0.053	0.0	1.0	0.0	0.5	0.33299999999999996	0.773	0.3	48.0	50.0	53.0	45.0	
1676232141.456395	5.271	0.25	0.053	0.524	0.05	1.0	1.0	1.0	1.0	53.0	56.0	59.0	49.0	
1676232141.6567194	10.974	0.263	0.05	0.4	0.053	1.0	1.0	1.0	1.0	55.0	59.0	61.0	51.0	
1676232141.8570879	10.974	0.055999999999999994	0.0	0.789	0.737	1.0	1.0	1.0	1.0	57.0	61.0	63.0	53.0	
1676232142.0573926	10.974	0.105	0.105	0.35	0.0	0.895	1.0	0.95	0.9520000000000001	58.0	62.0	64.0	53.0	
1676232142.2577002	10.974	0.1	0.05	0.055999999999999994	0.0	1.0	1.0	1.0	1.0	59.0	64.0	66.0	55.0	
1676232142.4580092	10.974	0.2	0.0	0.0	0.0	1.0	1.0	1.0	1.0	60.0	65.0	67.0	55.0	
1676232142.6583166	11.401	0.222	0.0	0.05	0.048	1.0	1.0	1.0	1.0	60.0	65.0	67.0	56.0	
1676232142.8586252	11.401	0.158	0.053	0.0	0.0	0.905	1.0	0.95	0.95	61.0	66.0	67.0	56.0	
1676232143.0589325	11.401	0.105	0.048	0.05	0.048	1.0	1.0	1.0	1.0	61.0	66.0	68.0	57.0	
1676232143.2592459	11.401	0.21100000000000002	0.0	0.0	0.091	1.0	1.0	1.0	1.0	62.0	67.0	69.0	57.0	
