time	W	usage_c0	usage_c1	usage_c2	usage_c3	usage_c4	usage_c5	usage_c6	usage_c7	temp4	temp5	temp6	temp7
1676254075.891069	11.687	0.21100000000000002	0.05	0.048	0.105	1.0	0.9	0.895	0.895	66.0	71.0	73.0	61.0	
1676254076.0915384	11.951	0.1	0.0	0.19	0.105	1.0	0.95	0.9520000000000001	0.9520000000000001	66.0	72.0	73.0	61.0	
1676254076.2920418	11.951	0.158	0.0	0.0	0.35	1.0	0.9	0.905	0.905	66.0	71.0	72.0	61.0	
1676254076.492532	11.951	0.1	0.0	0.0	0.15	0.909	0.909	1.0	0.95	65.0	72.0	73.0	61.0	
1676254076.6931503	11.954	0.2	0.0	0.0	0.15	0.95	1.0	1.0	0.95	65.0	72.0	74.0	61.0	
1676254076.8936267	11.954	0.11800000000000001	0.05	0.053	0.1	0.9	0.857	1.0	0.895	65.0	72.0	74.0	61.0	
1676254077.0941174	11.954	0.105	0.095	0.0	0.105	0.9470000000000001	0.9470000000000001	1.0	0.95	65.0	72.0	74.0	61.0	
1676254077.294599	11.954	0.105	0.055999999999999994	0.05	0.14300000000000002	0.9	0.9	1.0	0.857	64.0	72.0	74.0	61.0	
1676254077.4950922	11.954	0.062	0.1	0.053	0.158	0.95	0.95	1.0	0.9520000000000001	64.0	72.0	74.0	61.0	
1676254077.6955671	11.954	0.2	0.048	0.0	0.2	0.857	0.857	1.0	0.895	65.0	72.0	74.0	61.0	
1676254077.8960953	11.657	0.19	0.111	0.2	0.23800000000000002	0.9520000000000001	1.0	1.0	0.9	65.0	72.0	74.0	61.0	
1676254078.096583	11.657	0.053	0.1	0.05	0.105	0.9470000000000001	0.9470000000000001	1.0	0.9470000000000001	66.0	72.0	74.0	62.0	
1676254078.2972107	11.657	0.0	0.0	0.0	0.14300000000000002	0.85	0.85	1.0	0.85	66.0	72.0	74.0	62.0	
1676254078.497705	11.657	0.1	0.0	0.0	0.105	0.95	0.95	1.0	0.95	66.0	73.0	74.0	62.0	
1676254078.6981883	11.657	0.2	0.105	0.0	0.0	0.895	0.895	1.0	0.905	66.0	72.0	74.0	62.0	
1676254078.898744	11.741	0.316	0.045	0.0	0.053	0.955	0.955	1.0	0.9520000000000001	66.0	73.0	75.0	62.0	
1676254079.099219	11.741	0.158	0.0	0.0	0.053	0.895	0.895	1.0	0.889	66.0	72.0	75.0	62.0	
1676254079.299687	11.741	0.2	0.053	0.053	0.048	0.9	0.9470000000000001	1.0	0.95	66.0	73.0	75.0	62.0	
1676254079.5002036	11.741	0.263	0.21100000000000002	0.15	0.3	0.9520000000000001	0.9	0.9	0.895	63.0	72.0	72.0	60.0	
1676254079.7006752	11.741	0.222	0.0	0.0	0.053	0.8420000000000001	0.857	1.0	0.85	66.0	72.0	74.0	62.0	
1676254079.901169	11.454	0.158	0.05	0.14300000000000002	0.0	0.9520000000000001	0.95	1.0	0.9520000000000001	66.0	73.0	75.0	62.0	
1676254080.1016676	11.454	0.055999999999999994	0.095	0.2	0.0	0.895	0.9	1.0	0.85	66.0	73.0	75.0	62.0	
1676254080.3021424	11.454	0.053	0.0	0.1	0.0	0.95	0.95	1.0	0.95	66.0	73.0	75.0	62.0	
1676254080.5026488	11.454	0.055999999999999994	0.0	0.158	0.1	0.9	0.9	1.0	0.9	66.0	73.0	75.0	62.0	
1676254080.7031457	12.019	0.2	0.0	0.158	0.0	0.95	0.95	1.0	0.95	66.0	73.0	75.0	62.0	
1676254080.9046013	12.019	0.21100000000000002	0.053	0.105	0.0	0.9	0.895	0.95	0.905	65.0	72.0	75.0	61.0	
1676254081.1048949	12.019	0.055999999999999994	0.053	0.048	0.278	0.8420000000000001	0.9	0.905	1.0	64.0	73.0	72.0	61.0	
1676254081.3050954	12.019	0.105	0.0	0.0	0.0	0.9520000000000001	0.9520000000000001	1.0	1.0	66.0	73.0	74.0	63.0	
1676254081.505385	12.019	0.14300000000000002	0.0	0.158	0.095	0.85	0.895	0.857	0.9520000000000001	66.0	73.0	74.0	62.0	
1676254081.7056668	12.088	0.235	0.2	0.158	0.222	0.9470000000000001	0.9	0.95	1.0	67.0	73.0	74.0	63.0	
1676254081.9059594	12.088	0.16699999999999998	0.05	0.0	0.053	0.857	0.895	0.895	1.0	66.0	72.0	74.0	62.0	
1676254082.1062443	12.088	0.1	0.0	0.0	0.0	0.95	0.905	0.95	1.0	67.0	73.0	74.0	63.0	
1676254082.3065364	12.088	0.0	0.0	0.05	0.0	0.895	0.905	0.9	1.0	66.0	72.0	73.0	63.0	
1676254082.506824	12.088	0.105	0.05	0.182	0.235	0.909	0.9	0.905	0.9520000000000001	67.0	73.0	74.0	62.0	
1676254082.707129	12.088	0.25	0.05	0.0	0.05	1.0	0.857	0.95	0.895	67.0	72.0	74.0	62.0	
1676254082.907435	11.924	0.17600000000000002	0.053	0.0	0.0	0.95	0.895	0.9	0.857	67.0	72.0	74.0	62.0	
1676254083.1077168	11.924	0.1	0.0	0.048	0.0	1.0	0.95	0.95	1.0	67.0	73.0	74.0	62.0	
